source,target,peso
@lol123-e8s,@italoGymLeagueRBLX,1
@BabidiCharmoso,@italoGymLeagueRBLX,1
@orealfortes,@Therian._.forYou,1
@RKthe-ls6og,@Therian._.forYou,1
@Therian._.forYou,@Therian._.forYou,1
@BabidiCharmoso,@hugolourenco8432,1
@RafaelEVOX2,@reginaldodasilvamoreira5357,2
@adrianvantasset8081,@reginaldodasilvamoreira5357,1
@nessfromonett20,@reginaldodasilvamoreira5357,1
@BabidiCharmoso,@SilasVieira-k4v,1
@RafaelEVOX2,@LucyAlmeida-g7l,1
@LucyAlmeida-g7l,@LucyAlmeida-g7l,2
@adrianvantasset8081,@LucyAlmeida-g7l,1
@Juliana_01773,@Jancinick,3
@adrianvantasset8081,@Resistenciaterra,1
@Juliana_01773,@wandemberggomes7094,1
@Juliana_01773,@1isaacsilvestre,1
@adrianvantasset8081,@isabelliluizadossantossilv6231,1
@adrianvantasset8081,@Canal-dm5py,1
@Canal-dm5py,@Canal-dm5py,1
@ClaudioCalazans-c8y,@John_Hindersmann,1
@Juliana_01773,@CarlosInacio-eo9yk,1
@VitaoYT0,@oproprio9081,1
@Oreplublica,@oproprio9081,1
@oproprio9081,@oproprio9081,1
@Yosha_editz,@fabianowenig1970,1
@Yosha_editz,@draxx555,1
@draxx555,@draxx555,1
@Yosha_editz,@MárciaApCandidoCandido,1
@Cookie-3u5,@MárciaApCandidoCandido,1
@hugopatatas,@Triplewprefabs,1
@Triplewprefabs,@Triplewprefabs,1
@everywitchwaybrasil1597,@nessfromonett20,1
@nessfromonett20,@nessfromonett20,1
@Cookie-3u5,@nessfromonett20,1
@anajuliakrw,@bixu_azul,1
@agerg-r5z,@alexalves4733,1
@ReiCaixa,@alexalves4733,1
@Yosha_editz,@AbilioFernandesdaSilva,1
@AbilioFernandesdaSilva,@AbilioFernandesdaSilva,1
@soulanimado2081,@NICK-n3i3l,1
@Yosha_editz,@snipes817,1
@adrianvantasset8081,@lelaaraujolima2927,2
@lelaaraujolima2927,@lelaaraujolima2927,2
@GabrielAraujo-ez8mn,@GabrielAraujo-ez8mn,2
@Anyh23,@GabrielAraujo-ez8mn,2
@hallifbattisti9805,@GabrielAraujo-ez8mn,1
@Cookie-3u5,@GabrielAraujo-ez8mn,1
@elainizeferinosilva,@MARKK-rz5yw,1
@hallifbattisti9805,@ryanemerenciano5022,1
@balaxd00,@thomiryspimentel8232,1
@Jackzzin,@arthurmontaldi1493,1
@Cookie-3u5,@andreluizneofiti4935,1
@RKthe-ls6og,@andreluizneofiti4935,1
@Necro2303,@PabloCardoso-i1i,1
@Jackzzin,@PabloCardoso-i1i,1
@elainizeferinosilva,@isisazevedodias815,1
@OGPTdosGPTs,@isisazevedodias815,1
@SandraAnzolin,@isisazevedodias815,1
@angelicacatarina4472,@isisazevedodias815,2
@xandy1ms,@isisazevedodias815,1
@odeovo,@JoaoGabriel-v8z2c,1
@MariposaNoturna,@ZERODARKl444,1
@ZERODARKl444,@ZERODARKl444,2
@nessfromonett20,@ZERODARKl444,1
@balaxd00,@ZERODARKl444,1
@Necro2303,@marceloalves34890,1
@anticapitalistinho,@AntonioDias-p1m,1
@marcolarobsivaldo,@helenanascimento2431,1
@anticapitalistinho,@lucas.m123,1
@kaylanesilva5789,@lucas.m123,1
@Calopsita-49,@gertrudesheidrich9390,1
@anticapitalistinho,@MariaClara-yp1zq,3
@LOS_OTDE,@MariaClara-yp1zq,1
@funkristhian1420,@MariaClara-yp1zq,1
@MariaClara-yp1zq,@MariaClara-yp1zq,2
@skitsins,@MariaClara-yp1zq,2
@Gladium_Victrix,@MariaClara-yp1zq,1
@nayaramiranda9071,@Mello.0305,1
@anticapitalistinho,@GutoFantini,1
@kaylanesilva5789,@GutoFantini,1
@Potter159,@emillyMachado-v4,1
@kaylanesilva5789,@emillyMachado-v4,1
@anticapitalistinho,@giovannapudi6444,1
@adrianvantasset8081,@giovannapudi6444,1
@nessfromonett20,@giovannapudi6444,1
@ratatouilleedicaomaluka,@Rafaelasilva-2014-santos,1
@Itz_Davimps,@Rafaelasilva-2014-santos,1
@franciscoarthur3467,@SS-hb4qz,1
@carolineoliveira565,@SS-hb4qz,1
@Comunista_Enrustida6378,@SS-hb4qz,1
@RalfsOfficial,@SS-hb4qz,1
@Bratwurst_Sonic.EXE-13,@Rivaillo,1
@TerminatedChannel0,@Rivaillo,1
@Clerithcanonnnn,@donmorris4399,1
@adrianvantasset8081,@edit_josé_anime,1
@diversaudumatico8942,@edit_josé_anime,1
@Clerithcanonnnn,@joaoenzooliveira1530,1
@TerminatedChannel0,@akillesmarvel10000,1
@adrianvantasset8081,@SolangeMariadosSantos-p9u,1
@wesleydeandradegalvao6247,@wesleydeandradegalvao6247,1
@nayaramiranda9071,@NatanNeris-s4e,1
@kaylanesilva5789,@GabrielolliverAlmeida,2
@GabrielolliverAlmeida,@GabrielolliverAlmeida,2
@WindowsOSC,@Irailzamedeirosdossantos,1
@GabrielolliverAlmeida,@luzivania3639,1
@adrianodemoraes1390,@ladygamer1435,1
@RKthe-ls6og,@ladygamer1435,1
@adrianvantasset8081,@terezinhafialho5305,1
@Alysson29,@KellyRibeiro-z1u,1
@atjack7406,@atjack7406,1
@YēsleX1987,@AnasophiaRamos-u9p6j,1
@adrianvantasset8081,@mariliasouzadicasdesaude,1
@adrianvantasset8081,@RobertaCristina-u7m,1
@superstienOFC,@lisadepaula4080,1
@henrique.br.7,@DaviAlvesFranca,1
@ralsei2681,@belxperience,1
@someonerandomlol-j1x,@BenjaminPeixoto-k3b1i,1
@kaylanesilva5789,@BenjaminPeixoto-k3b1i,1
@superstienOFC,@biancasalles5844,1
@Comunista_Enrustida6378,@markvalknut1724,1
@Lolggnobres,@markvalknut1724,1
@purussaurocomroteiro,@markvalknut1724,1
@angelicacatarina4472,@juliocesarrodriguezrodrigu4394,2
@adrianvantasset8081,@paulohenriqueteixeira3006,1
@paulohenriqueteixeira3006,@paulohenriqueteixeira3006,1
@Robsondobolo,@CeciliaMartins-q3b,1
@Alysson29,@CeciliaMartins-q3b,1
@noua4588,@CeciliaMartins-q3b,1
@Comunista_Enrustida6378,@lucasgumes9677,1
@kaylanesilva5789,@lucasgumes9677,1
@Comunista_Enrustida6378,@Madruguinhay,1
@Comunista_Enrustida6378,@SkyflareOficialGames,1
@SkyflareOficialGames,@SkyflareOficialGames,1
@kaylanesilva5789,@SkyflareOficialGames,1
@Comunista_Enrustida6378,@profclaudiogarciabambam,1
@clarinha._c,@joão-t2r,1
@Comunista_Enrustida6378,@joão-t2r,1
@adrianvantasset8081,@elizianesilveiraa,1
@RafaelAzevedoGt,@elizianesilveiraa,1
@wagnersama,@elizianesilveiraa,1
@danielmarinsneves9892,@He_cookies,1
@FelipeHSHS,@daniel4net292,1
@RafaelAzevedoGt,@Misteriosa_6661,1
@RafaelAzevedoGt,@bruuh321,1
@RafaelAzevedoGt,@GilmarSaresBarber,1
@2ch921,@gustavosorensen,1
@Comunista_Enrustida6378,@gustavosorensen,1
@canaldojulin1918,@NicollasAguinaldoCamargo,1
@Comunista_Enrustida6378,@NicollasAguinaldoCamargo,1
@superstienOFC,@brunovasconcelosmontoni9706,1
@brunovasconcelosmontoni9706,@brunovasconcelosmontoni9706,1
@Oreplublica,@brunovasconcelosmontoni9706,1
@Comunista_Enrustida6378,@CorftSone,1
@CorftSone,@CorftSone,1
@4ExtremeforcE4,@pqp_abby,1
@VontadedoFogo.,@Naapsy,6
@jhonmilers1245,@Naapsy,6
@Naapsy,@Naapsy,3
@swasfutebol,@Naapsy,1
@lubrandao4255,@52Fernanda,1
@sr.emerson7783,@JoseSimon-e9q,1
@balaxd00,@aranhanumamoto7578,1
@VontadedoFogo.,@aranhanumamoto7578,2
@matheusnascimentomn3487,@aranhanumamoto7578,1
@Comunista_Enrustida6378,@aranhanumamoto7578,1
@Comunista_Enrustida6378,@yasmimluiza887,1
@ralsei2681,@yasmimluiza887,1
@Comunista_Enrustida6378,@Kanashi_9,1
@GerleneMelo-m3x,@N_murderdrones9,1
@ApenasMemes-0,@N_murderdrones9,1
@hzokbe,@joaopaulosantana899,1
@universovidabr,@joaopaulosantana899,1
@claramariasilvaoliveira2731,@joaopaulosantana899,1
@Bioquímica-s8m,@joaopaulosantana899,1
@AqueleUmaVezConhecidoComoFran,@joaopaulosantana899,1
@elainizeferinosilva,@joaopaulosantana899,1
@fernandaqueiroz1985,@joaopaulosantana899,1
@balaxd00,@leonardobohrer4602,3
@Comunista_Enrustida6378,@leonardobohrer4602,1
@angelicacatarina4472,@Laura13026,2
@SangekiNoKami,@Anderson-gr6vs,1
@yasferriques,@Anderson-gr6vs,1
@goreॱ,@Anderson-gr6vs,1
@Comunista_Enrustida6378,@conselhoseacertos8755,1
@Comunista_Enrustida6378,@gabrieldaniel6617,1
@gabrieldaniel6617,@gabrieldaniel6617,1
@Comunista_Enrustida6378,@TEUS2030-lw8ig,1
@LionelMessiG0aT745,@EstêvãoRocha-e5l,2
@Marisquizo11,@EstêvãoRocha-e5l,1
@balaxd00,@EstêvãoRocha-e5l,1
@adrianvantasset8081,@EstêvãoRocha-e5l,2
@EstêvãoRocha-e5l,@EstêvãoRocha-e5l,1
@Comunista_Enrustida6378,@EstêvãoRocha-e5l,1
@ralsei2681,@EstêvãoRocha-e5l,1
@EstêvãoRocha-e5l,@Solangecaviski,1
