id,total_comments,total_replies_received
@lucasj.2334,1,0
@camilas.e.5155,1,0
@nakano_sensei,1,0
@abneralves7437,1,0
@Luan.marinho1,1,0
@labubranco,1,0
@Márciadiasdossantos-n8r6l,1,1
@dog_boo2023,2,0
@MariaFlorHoepers,1,0
@fernandagomes6583,1,0
@kauanjesus1467,1,1
@carlosandresilvaluzsilvalu6802,0,0
@licebeatriz_scartezini,1,1
@geovannagoncalves5033,1,0
@russia2-s1s,1,0
@alesandrosantana2171,1,0
@diogopdaniel15,1,0
@EduardoSantos28009,1,0
@Marcelo_Gay,2,0
@rip_fire-p6w,1,0
@AngularStudios-q8o,1,0
@sarafaria488,1,0
@cosmeblue9891,1,0
@Nigan-zv4cd,1,0
@AlexandraSouza-o8v,1,0
@NomeSobrenome-f6u,1,1
@pink_debochadastay,1,1
@TaynhaSilvaAProfissa,0,0
@SoniaNogueira-sq6yo,1,0
@bacon-h5y,1,0
@wellingtont.silveira124,1,0
@ericklianes,1,0
@PedroBarra-r9k,1,0
@miguto,2,0
@Animated_dinosaurs,1,3
@Mundocraft-g6o,0,0
@LDLW95,1,0
@keylamarcia.,1,0
@lucineideberta9185,1,0
@MemerCat122,1,1
@HelenaMoura-f3c,0,0
@HenriqueFaria-n8w,1,1
@LuizGustavoGonçalves-z8h,1,0
@musiquinhasdaoras,1,0
@sousamigani,1,0
@ESTEVÃO-SZ,1,0
@GuardioesDaResiliencia,1,0
@malenamoraes3242,1,1
@qwertypoiuy4049,0,0
@Gamer014VLG,1,0
@joãofutebolfc12332,1,0
@ConstrutoraSalgueiro,1,0
@anderlinedecastrogil254,1,0
@RodrigoMartins-w9m7p,1,1
@ivi8060,1,1
@Blacklighs39,1,0
@RenataSilvio-by1rm,6,0
@anagianfrancesco4358,1,0
@galdinoanalises8936,1,0
@josicavalcante3845,1,1
@ManoelTeixeira-ks8wx,1,0
@PedrorickDaSilva,1,0
@jgmines,1,0
@alessandragomesdemiranda1026,1,0
@Alterandoaconta,1,0
@rosenirios2679,1,0
@jessicanasst,1,5
@NatanySilva-h4t,0,0
@enzopsKaiser,0,0
@IamAstroLand,0,0
@roselisimone3796,1,2
@brenosimparadellateixeira4286,0,0
@assasinocreed6601,1,0
@miltonrodriguesantunes6062,1,0
@MariaLucieneDossantosproge-m3v,1,1
@MariaCunha-n4e,1,0
@MaryAlves-os4ou,1,1
@leticiasoares8980,1,1
@MarcosVinicius-g9e2t,1,0
@MiguelPospichilnetdias,1,4
@thestonemilker,0,0
@rodrigocardoso5824,1,0
@joaovitoryokada5029,1,0
@IetiSantosdaSilva,1,0
@carmendallago1914,1,0
